CRIM	ZN	INDUS	CHAS	NOX	RM	AGE	DIS	ZERO	ONE	TWO	THREE	FOUR	FIVE	FZ	FACE
2.72E-01	2.43E-02	1.21E-03	3.01E-04	9.09E-06	4.50E-05	9.99E-06	19.13390275	0	0	0	0	1	0	0	0
2.60E-01	2.07E-02	1.54E-03	1.37E-04	7.92E-06	1.91E-05	6.98E-06	19.16136003	0	0	0	0	1	0	0	0
2.56E-01	1.98E-02	1.56E-03	1.17E-04	7.08E-06	1.58E-05	5.61E-06	18.75667582	0	0	0	0	1	0	0	0
2.50E-01	1.74E-02	1.82E-03	6.73E-05	5.96E-06	8.88E-06	3.40E-06	18.75360557	0	0	0	0	1	0	0	0
2.42E-01	1.03E-02	3.40E-03	1.07E-04	5.47E-06	9.57E-06	1.19E-07	19.06575104	0	0	0	0	1	0	0	0
2.45E-01	1.19E-02	2.21E-03	1.39E-04	-7.50E-06	1.30E-05	1.17E-06	17.16917241	0	0	0	0	1	0	0	0
2.66E-01	1.42E-02	2.83E-03	1.43E-04	-1.22E-05	1.62E-05	4.45E-06	14.62475543	0	0	0	0	1	0	0	0
2.58E-01	1.43E-02	2.15E-03	3.33E-04	-1.95E-05	3.86E-05	8.94E-06	16.7537978	0	0	0	0	1	0	0	0
2.84E-01	1.59E-02	3.51E-03	1.62E-04	-2.08E-05	2.01E-05	1.71E-05	13.25482525	0	0	0	0	1	0	0	0
2.77E-01	2.18E-02	2.02E-03	4.60E-04	-2.17E-05	6.77E-05	2.43E-05	16.91507829	0	0	0	0	1	0	0	0
2.78E-01	2.22E-02	2.04E-03	5.03E-04	-2.25E-05	7.46E-05	2.45E-05	17.10741279	0	0	0	0	1	0	0	0
2.79E-01	2.26E-02	2.08E-03	5.19E-04	-2.43E-05	7.79E-05	2.40E-05	17.08014019	0	0	0	0	1	0	0	0
2.76E-01	2.46E-02	1.19E-03	7.87E-04	-1.52E-05	1.22E-04	1.12E-05	16.89454746	0	0	0	0	1	0	0	0
2.77E-01	2.52E-02	1.23E-03	7.99E-04	-1.35E-05	1.26E-04	8.89E-06	17.0005324	0	0	0	0	1	0	0	0
2.63E-01	2.46E-02	1.19E-03	7.39E-04	-2.79E-06	9.91E-05	6.00E-06	18.32797681	0	0	0	0	1	0	0	0
2.56E-01	1.99E-02	1.42E-03	3.62E-04	-8.54E-06	5.05E-05	1.74E-06	17.83726567	0	0	0	0	1	0	0	0
2.69E-01	2.33E-02	9.68E-04	7.57E-04	-8.06E-06	1.10E-04	-1.68E-06	17.01334017	0	0	0	0	1	0	0	0
2.64E-01	2.06E-02	1.39E-03	6.94E-04	-3.85E-06	8.51E-05	-3.03E-06	17.53089202	0	0	0	0	1	0	0	0
2.32E-01	1.19E-02	2.13E-03	1.03E-04	2.72E-06	1.59E-06	2.06E-06	20.42160824	0	0	0	0	1	0	0	0
2.25E-01	1.17E-02	1.81E-03	6.63E-05	1.22E-06	-4.90E-06	1.64E-06	20.75441307	0	0	0	0	1	0	0	0
2.76E-01	2.58E-02	1.25E-03	2.80E-04	8.69E-06	4.24E-05	1.19E-05	19.28343882	0	0	0	0	1	0	0	0
2.74E-01	2.61E-02	1.24E-03	1.81E-04	6.99E-06	2.78E-05	9.46E-06	19.89392471	0	0	0	0	1	0	0	0
2.44E-01	1.57E-02	2.00E-03	2.81E-05	4.14E-06	3.52E-06	2.70E-06	19.80633684	0	0	0	0	1	0	0	0
2.44E-01	1.55E-02	1.98E-03	3.64E-05	4.30E-06	3.82E-06	1.90E-06	19.94396778	0	0	0	0	1	0	0	0
2.47E-01	1.27E-02	3.00E-03	6.68E-05	4.35E-06	6.59E-06	3.84E-07	19.4848151	0	0	0	0	1	0	0	0
2.49E-01	1.21E-02	2.91E-03	7.00E-05	1.42E-06	7.46E-06	-1.49E-08	18.49668987	0	0	0	0	1	0	0	0
2.47E-01	1.07E-02	2.83E-03	8.46E-05	-1.90E-06	8.75E-06	2.01E-07	17.43355817	0	0	0	0	1	0	0	0
2.50E-01	1.16E-02	2.77E-03	6.04E-05	-5.08E-06	5.87E-06	1.12E-06	16.3314068	0	0	0	0	1	0	0	0
2.38E-01	5.94E-03	1.27E-03	4.48E-04	-1.39E-05	3.43E-05	6.94E-06	16.79544256	0	0	0	0	1	0	0	0
2.57E-01	1.62E-02	2.03E-03	2.27E-04	-1.46E-05	2.82E-05	7.49E-06	17.48986699	0	0	0	0	1	0	0	0
2.69E-01	2.06E-02	2.01E-03	3.69E-04	-1.62E-05	5.25E-05	1.20E-05	16.83978135	0	0	0	0	1	0	0	0
2.70E-01	2.16E-02	1.67E-03	4.59E-04	-1.45E-05	6.72E-05	8.61E-06	16.471071	0	0	0	0	1	0	0	0
2.67E-01	2.13E-02	1.59E-03	5.27E-04	-1.35E-05	7.68E-05	5.57E-06	16.34206412	0	0	0	0	1	0	0	0
2.62E-01	2.07E-02	1.33E-03	4.44E-04	-9.10E-06	6.39E-05	2.65E-06	16.8133431	0	0	0	0	1	0	0	0
2.65E-01	2.21E-02	9.18E-04	6.82E-04	-3.25E-07	1.01E-04	-1.90E-08	16.71359678	0	0	0	0	1	0	0	0
2.68E-01	2.25E-02	1.34E-03	6.00E-04	-1.51E-06	8.55E-05	-7.52E-07	17.06902919	0	0	0	0	1	0	0	0
2.71E-01	2.29E-02	1.02E-03	7.06E-04	3.60E-06	9.75E-05	2.53E-06	17.86284845	0	0	0	0	1	0	0	0
2.70E-01	2.24E-02	1.16E-03	5.90E-04	5.69E-06	8.08E-05	4.15E-06	17.86551241	0	0	0	0	1	0	0	0
2.64E-01	2.20E-02	1.12E-03	2.97E-04	4.35E-06	3.42E-05	5.44E-06	19.14101122	0	0	0	0	1	0	0	0
2.58E-01	1.92E-02	1.66E-03	8.94E-05	6.69E-06	1.24E-05	3.88E-06	19.40415215	0	0	0	0	1	0	0	0
2.46E-01	1.46E-02	2.10E-03	6.14E-05	5.64E-06	6.41E-06	1.81E-06	20.30846999	0	0	0	0	1	0	0	0
2.38E-01	9.32E-03	3.73E-03	4.71E-05	1.58E-06	2.59E-06	-1.62E-07	20.33644667	0	0	0	0	1	0	0	0
2.48E-01	1.03E-02	3.02E-03	6.46E-05	-2.55E-06	6.44E-06	3.07E-07	17.33401244	0	0	0	0	1	0	0	0
2.51E-01	1.15E-02	2.86E-03	5.62E-05	-3.81E-06	5.55E-06	6.12E-07	16.62032762	0	0	0	0	1	0	0	0
2.51E-01	1.31E-02	2.04E-03	2.46E-04	-1.43E-05	2.75E-05	6.22E-06	17.14704589	0	0	0	0	1	0	0	0
2.57E-01	1.50E-02	2.00E-03	2.52E-04	-1.46E-05	3.04E-05	7.25E-06	17.13425343	0	0	0	0	1	0	0	0
2.62E-01	1.60E-02	2.26E-03	3.28E-04	-1.85E-05	4.14E-05	1.33E-05	17.0789728	0	0	0	0	1	0	0	0
2.69E-01	2.05E-02	1.96E-03	3.69E-04	-1.57E-05	5.28E-05	9.77E-06	17.29017476	0	0	0	0	1	0	0	0
2.65E-01	2.02E-02	1.62E-03	4.77E-04	-1.67E-05	6.63E-05	5.05E-06	17.1768146	0	0	0	0	1	0	0	0
2.48E-01	1.54E-02	2.54E-03	2.89E-04	-1.26E-05	2.40E-05	-1.12E-06	18.23862896	0	0	0	0	1	0	0	0
2.51E-01	1.75E-02	1.53E-03	2.94E-04	-4.63E-06	3.03E-05	-1.32E-06	18.16507708	0	0	0	0	1	0	0	0
2.56E-01	1.77E-02	1.44E-03	3.49E-04	1.05E-06	3.39E-05	4.47E-07	18.55559009	0	0	0	0	1	0	0	0
2.59E-01	1.91E-02	1.38E-03	1.95E-04	3.96E-06	2.27E-05	2.28E-06	19.07430263	0	0	0	0	1	0	0	0
2.48E-01	1.43E-02	2.03E-03	9.54E-05	5.12E-06	1.14E-05	1.20E-06	19.32816002	0	0	0	0	1	0	0	0
